id,title,description,price,skills
job-11,Revit DA Plans for Extension,"Simple timber-framed extension to single storey double brick home. 

I already have the extension model built in Revit and all existing drawings are available in digital and print format. What I now need is a complete DA package that my local council will accept without further mark-ups.  

Scope  
• Convert and refine the current Revit model into site plan, floor plans, elevations, and sections.  Demo plans are already complete.
• Clearly distinguish demolition, and new-build elements in keeping with renovation standards.  

One copy of a site plan drawn to a scale of not less
than 1:200 or 1:100.
The Site plan must be accurate and fully dimensioned
and include:
• Contours at 500mm intervals.
• All existing buildings and structures that impact on
the application.
&bull...",$72,"3D Modelling, Architectural Rendering, Building Architecture, Building Design, Revit"
job-12,Innovative Bike Saddle Design,"I’m bringing a new performance-oriented bicycle saddle to market and need a product designer who can own the entire concept phase—from the first sketch to a factory-ready 3D file. The exact riding discipline is commercially sensitive and I’ll share it once an NDA is in place, but every decision must prioritize three non-negotiables: comfort over long hours, rock-solid durability, and the lowest practical weight. Great aesthetics matter too; the saddle has to look as good as it rides.

You’ll translate those goals into a fully resolved  concept is viable, and I'll submit the whole ideas and conception difficulties.

Deliverables  
• Refined 3D CAD model (STEP + native format) suitable for CNC or rapid tooling  
• Material and finish specification, incl...",$408,"3D CAD, 3D Design, 3D Modelling, 3D Printing, 3D Rendering, AutoCAD, CAD/CAM, Mechanical Engineering, Product Design, Solidworks"
job-13,[URGENT] Business Profile Redesign,"I have an existing company profile that must be elevated today. You will have a six-hour window from kickoff to final hand-off, so speed and precision in Adobe Illustrator are essential.

The weakest point is the content layout. I want you to spend the first thirty minutes auditing every spread, noting hierarchy, spacing, and flow. During the next hour, send me a concise action plan so we agree on the new structure before you touch a single guide or grid. With that plan approved, you will use the remaining four and a half hours to rebuild the layout, refine typography, balance imagery, and tidy layers, all while staying faithful to the brand guidelines I will provide at the start.

Deliverables
• Updated editable .ai file  
• Press-ready and web-ready PDFs  

Acceptance criteria
...",$116,"Adobe Illustrator, Adobe InDesign, Branding, Content Strategy, Digital Design, Graphic Design, Illustrator, Logo Design, Typography, Visual Design"
job-14,Telecaller for Software Sales,"I need a confident telecaller who can take full ownership of outbound sales calls. You will focus on pitching our attendance software and any other general products or services we roll out, turning conversations into qualified demos or direct sales.

Your day will revolve around selling, so prior sales‐oriented telecalling experience is essential. Every call should move a prospect closer to a decision, whether that means booking a live demo or closing on the spot. Fluency in English is expected, and you must also be comfortable conversing in both Hindi and Gujarati; many of our leads prefer those languages.

Core activities include:
• Dialing potential and existing customers from curated lists.  
• Explaining the attendance solution—features, pricing, and benefits—cle...",$283,"CRM, Customer Service, Lead Generation, Leads, Sales, Sales Management, Telemarketing, Telephone Handling"
job-15,AI Prompts: Realistic Product Images,"I need a set of carefully written prompts that will push image-generation models such as Midjourney, Stable Diffusion or DALL-E to deliver studio-quality, photorealistic product-showcase shots. The aim is to replace (or at least supplement) traditional photography for an online store, so the prompts must consistently return clear lighting, true-to-life colours and natural textures—never abstract, cartoonish or obviously synthetic results.

Scope of work  
• Translate short product descriptions or reference photos into prompts that reliably yield at least three usable images per item.  
• Tune wording, camera angles, aspect ratios, negative prompts and model settings so each output feels like a high-end catalogue photo.  
• Document any seeds, parameters or upscaling st...",$9,"AI Content Creation, AI Design, AI Model Development, AI Rendering, Image Upscaling, Midjourney, Photography, Product Photography, Prompt Engineering"
job-16,AI Video Editing Tool — Paid Testing (30 mins),"AI Video Editing Tool — Paid Testing (30 mins)

We’re testing a new AI video editing tool and looking for freelance editors to try it and provide feedback.

What You'll Do

• Join our Discord to get premium access
• Use the tool and share your experience (~30 mins)
• Complete a short questionnaire (~15 questions)
• Record your editing process

Compensation

• $10 USD
• Free premium access to the editing tool
• Early access to new features
• Future paid opportunities
• Additional community perks

Ideal Candidates

• YouTube Shorts editors
• TikTok editors
• Podcast / interview / livestream editors",$19,"Content Creation, Content Strategy, Copywriting, Video Editing, Video Post-editing, Video Processing, Video Production, Video Services, Video Upload, YouTube"
job-17,Vintage Mirror Black Eagle Logo,"I need a vintage-influenced logo built around two black eagles arranged in a perfect mirror image, so their backs touch and the wings flare out symmetrically. Picture an old heraldic crest: slightly distressed line work, bold silhouettes, and a touch of classic engraving detail—yet still clean enough to reproduce crisply on everything from letterheads to social banners.

Key points to keep in mind  
• Style: unmistakably vintage—think aged ink, subtle texture, and timeless typography if any lettering is added.  
• Orientation: the birds must be exact mirror opposites, meeting at the spine to form a balanced, cohesive shape.  
• Colour: solid black only, set on a transparent background; any texture should come from line work, not extra colours.

Deliverables  
&nd...",$182,"Adobe Illustrator, Adobe Photoshop, Graphic Design, Illustrator, Logo Design, Photoshop, Typography, Vector Design"
job-18,Versatile Graphic Design Services,"I’m a seasoned graphic designer who specialises in three key areas—logo creation, eye-catching social media graphics, and precise photo editing. Whether you need a fresh brand mark, scroll-stopping visuals for Instagram and Facebook, or high-resolution image retouching, I can step in and deliver polished results that align perfectly with your vision.

Here’s how I work:
• Clear, friendly communication from first concept through final hand-off  
• Original designs built in Adobe Illustrator, Photoshop and InDesign, supplied in all the file formats you’ll need (AI, PSD, PNG, JPG, PDF, SVG)  
• Up to two rounds of refinements included so the final look is exactly right  
• Fast turnarounds without sacrificing quality—ideal for tight marketing ...",$18 / hr,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Graphic Design, Illustrator, Logo Design, Photo Editing, Photoshop"
job-19,Python Data Scraping Automation,"A reusable Python script is required to automate data scraping from a series of publicly accessible web pages. The script should accept a list of URLs, navigate through any paginated content, extract the specified fields, and save the results to CSV and JSON.  

The task suits someone with an intermediate grasp of Python who is comfortable working with libraries such as requests, BeautifulSoup, pandas, or, when a site relies on JavaScript, Selenium or Playwright. Clear, well-commented code and concise setup instructions are essential so the script can be dropped into an existing workflow without modification.

Acceptance criteria and deliverables:  
• Fully functional .py script that runs from the command line.  
• Configuration section (or .env file) for URL list and field selec...",$243,"Automation, BeautifulSoup, Data Scraping, JavaScript, Python, Selenium, Software Architecture, Web Scraping"
job-20,AI Agent Development,"I'm looking for an experienced developer to create an AI agent. 

Essential skills and experience include:
- Proficiency in AI technologies
- Strong coding skills, preferably in Python or JavaScript
- Experience with NLP, machine learning, or predictive analytics

Please provide a portfolio of similar work.",$193,"AI Development, AI Model Development, HTML, JavaScript, Machine Learning (ML), Natural Language Processing, Python, Website Design"
job-21,Faceless Live-Action Home Goods Ads,"I need short, punchy live-action videos that show my range of home-goods products in use without ever showing a face. Each ad has to make the item’s benefit instantly clear and be ready to run as paid placements on Facebook and Instagram

I’ll need vertical versions only, plus silent-safe captions so they work even when autoplayed on mute. Stock hands or over-the-shoulder angles, close-ups of the product in action, and quick hero shots at the end with my logo and call-to-action are the kind of framing I’m after.  

Deliverables  
• 3–5 faceless live-action ads (15–30 s each)  
• Platform-optimised cuts: 9:16, 1:1, and 16:9  
• Hard-coded captions and source files  

I’ll supply product specs, brand colours, and any copy you need; you handl...",$24,"After Effects, Animation, Motion Graphics, Social Media Marketing, Video Ads, Video Editing, Video Production, Video Services"
job-22,Real Estate Photographer Contacts,"I need an accurate list of 50–60 contract real-estate photographers who actively cover the corridor between Baltimore, MD and Richmond, VA. The goal is simple: I want to network with these shooters, so provide as many verified details as possible—name, direct phone number, email address and/or Instagram/Linkedin/Facebook accounts.

I already have a shortlist of regional real-estate photography and media companies; I’ll pass that along at kickoff so you can mine their rosters first and then branch out to comparable firms or independent contractors in the same service area. You may use public directories, social platforms, company team pages, or direct outreach—whatever works, as long as the data is reliable.

Acceptance criteria
• 50–60 unique photographer...",$16 / hr,"Data Collection, Data Entry, Data Mining, Excel, Lead Generation, Research, Virtual Assistant, Web Search"
job-23,Mechanical Component Sourcing Expert,"I’m looking for a results-driven industrial procurement professional who can take full ownership of mechanical sourcing for a series of upcoming projects. My priority is to secure reliable, competitively priced components that meet strict technical and quality requirements, all while keeping lead times realistic and documentation airtight.

Your role will involve translating our engineering requirements into clear RFQs, identifying and qualifying suppliers worldwide, and negotiating terms that protect both cost and schedule. Experience with hydraulics, filtration, or water-treatment hardware would be an added bonus, but the core need is solid mechanical component sourcing know-how.

To keep expectations crystal clear, here’s what I’ll need from you before sign-off:

&bull...",$2967,"Chemical Engineering, Electrical Engineering, Engineering, ERP, Mechanical Engineering, Procurement, Supplier Sourcing, Water Treatment"
job-24,Wet Grinder CE Manual Writing,"I need a seasoned technical writer to turn the latest design data for our commercial tilting wet grinder into a CE-ready user manual that speaks directly to end-customers. The machine is in the final stages of compliance testing, so the documentation must mirror the safety, electrical, and hygienic requirements we have built into the product.

Scope  
• Craft clear, step-by-step Installation and Setup instructions that an everyday user can follow without tools beyond the basics.  
• Lay out concise Operation Guidelines covering initial use, daily operation, loading recommendations, and all safety warnings mandated under CE machinery directives.  
• Build a Maintenance and Troubleshooting section with routine cleaning schedules, part-replacement procedures, fault codes, and q...",$404,"Accessibility, Adobe InDesign, Documentation, Product Design, Risk Assessment, Technical Documentation, Technical Writing, Troubleshooting"
job-25,Remote Accountant for Luxury Boutique Operations,"Accountant for Boutique Pre‑Opening & Ongoing Operations (Remote – India)
Project-Based / Hourly (to be agreed)

Role Overview
We are looking for a detail‑oriented Accountant to support the financial setup and ongoing bookkeeping for a luxury bridal/fashion boutique in Qatar. The role focuses on pre‑opening budget tracking, expense management, and inventory‑linked accounting workflows, with the option to continue after the boutique opens.

Scope of Work

1. Pre‑Opening Accounting & Budget Tracking

Create a comprehensive budget tracker for construction, procurement, décor, and operational setup.

Monitor and record all pre‑opening expenses.

Track payments to contractors, suppliers, and service providers.

Prepare weekly budget status reports.

2. Boutique Accounting S...",$14 / hr,"Accounting, Bookkeeping, Budgeting and Forecasting, Financial Analysis, Financial Consulting, Financial Planning, Intuit QuickBooks, MYOB"
job-26,Real Estate Educational Video Avatar Creation,"Hello! I am building an educational program as a part of my real estate practice and law practice. I am a solo and about to start hiring, and my goal is to locally create an avatar of myself speaking to lay over educational videos. Furthermore, I have an AI-generated voice created through InVideo, which works wonderfully, and the scripts are easily modified. Moreover, I am generating infographics and animated data visualizations through Renderforest and laying this all over stock footage compiled with CapCut. Additionally, I have a 5090 GPU and a desktop that is more than capable of this work, but I admit the ComfyUI interface overwhelms me. As a corollary, I seek a workflow that efficiently generates realistic lip-synched avatars so I can produce my educational series and offer this servi...",$51 / hr,"3D Animation, After Effects, AI Chatbot Development, AI Content Creation, Animation, Content Creation, Video Editing, Video Production"
job-27,USA Subsidiary Closure & Compliance Expert from India,"We are looking for an experienced professional or firm to assist with the closure of our Wholly Owned Subsidiary (WOS) in the USA. The holding company is based in India, and the USA entity currently has no active business operations. However, there are outstanding amounts that cannot be repatriated, and we require proper closure with full compliance under RBI regulations.

Scope of Work:

Advise on legal and financial process to wind up USA-based WOS
Handle or guide through closure procedures in the USA (including regulatory filings, tax clearances, etc.)
Assist in addressing outstanding amounts that cannot be repatriated to India
Ensure full compliance with RBI / FEMA regulations for overseas investment closure
Support in obtaining necessary approvals and a “clean chit” from R...",$134,"Accounting, Business Consulting, Compliance, Corporate Law, Finance, Financial Consulting, Legal"
job-28,Luxury Cleaning Brand Logo Design,"I want a refined, high-end logo for First Class Cleaning that instantly communicates premium quality. The look must stay minimal, clean, and elegant—think luxury fashion labels rather than playful cartoon marks. Sans-serif typography is non-negotiable; it should feel contemporary yet timeless.

Please explore a range of sophisticated colour pairings. You can show classic black-and-white, rich gold with deep navy, cool silver with emerald, or any other elegant combos you believe elevate the brand. Present each option on light and dark backgrounds so I can judge versatility.

Deliverables  
• Primary logo in vector (AI, EPS) and web (SVG, PNG) formats  
• Horizontal and stacked variations  
• Small-scale favicon or monogram version  
• Quick style sheet noting colou...",$10,"Adobe Illustrator, Branding, Graphic Design, Illustration, Illustrator, Logo Design, Typography, Vector Design"
job-29,Source U.S. Mens Formalwear Buyers,"I manufacture premium men’s formalwear—suits, dress shirts, blazers, and tailored accessories—and want to expand my reach inside the United States. What I need now is actionable help connecting with wholesale buyers who regularly stock formal apparel for male customers.  

Your role will be to research, qualify, and introduce me to purchasing managers or decision-makers at U.S. distributors, clothing chains, department stores, and established independent retailers that place bulk orders. If you already have a book of contacts, even better; otherwise, I’m happy for you to build a fresh list and open the conversations.  

Deliverables  
• A vetted list (name, title, company, email, phone) of at least 25 wholesale prospects focused on men’s formalwear  
&bul...",$10 / hr,"B2B Marketing, Business Development, Lead Generation, Market Research, Marketing, Research, Retail Sales, Sales"
job-30,Crowdfunding Strategy & Copywriting,"I need to raise funds quickly and want to launch a small-scale crowdfunding effort that feels authentic, persuasive, and well-planned. I have the core idea and personal story, but I need an expert who can turn that raw material into a complete campaign—selecting the right platform, crafting the pitch, and mapping out the promotion schedule so backers feel confident supporting the cause. 

To make it easy for both of us to track progress, here’s what I consider the key deliverables:
• Campaign blueprint covering goal, timeline, platform choice, and reward tiers  
• Long-form pitch copy plus a concise elevator version for social media  
• Visual concept guidance (tone, layout references) so my designer can follow one clear direction  
• Launch checklist and a ...",$17 / hr,"Content Marketing, Content Writing, Copywriting, Crowdfunding, Facebook Marketing, Internet Marketing, Marketing Strategy, Social Media Marketing"
job-31,Guaranteed Removal of Google Reviews,"I need five 1-star reviews erased from my Google Business Profile and I only want to work with someone who can guarantee both speed and success. At this point I am not certain whether the comments technically violate Google’s policies, and I have no hard evidence to prove that they are fake. I have replied to a couple of the reviews publicly but not the rest.  

What matters to me is results: all five reviews must disappear from public view—whether that is through policy-based flagging, an authoritative appeal, or any other proven tactic you control. I am open to your method as long as it stays within Google’s terms and the removal is permanent, not just hidden temporarily.  

Acceptance criteria:  
• All five specified 1-star reviews are completely removed from the ...",$166,"Brand Management, Content Strategy, Customer Experience, Customer Service, Digital Marketing, Google Ads, Google Analytics, Public Relations, SEO, Social Media Management"
job-32,Minimalistic Black & White Activewear Logo -- 2 - 09/04/2026 01:56 EDT,"I'm looking for a creative logo for my women's activewear brand. The brand is for intentional, driven women who are working towards building a life they love.

Key Requirements:
- Open to minimalistic or dramatic designs
- Use of black and white, as it will be embroidered on clothing
- Symbols or imagery can be abstract, athletic figures, or nature elements—I'm open to your inspiration

Ideal Skills & Experience:
- Strong portfolio in logo design, particularly for activewear or lifestyle brands
- Ability to create modern and minimalistic designs
- Experience with embroidery and how it affects design

Please share your portfolio with your bids. Looking forward to your creative genius!",$24,"Branding, Creative Design, Embroidery, Fashion Design, Graphic Design, Illustrator, Logo Design, Photoshop"
job-33,Mixed Media Promo Video Editor,"I'm seeking a skilled video editor to create a promotional video for social media. The video should be a captivating mix of animated and live-action elements.

Requirements:
- Experience in editing promotional videos
- Proficiency in both animation and live-action video editing
- Ability to create engaging content tailored for social media platforms
- Strong storytelling skills to effectively convey the promotional message

Ideal Skills:
- Video editing software expertise (e.g., Adobe Premiere Pro, After Effects)
- Creativity and attention to detail
- Experience with social media content trends and requirements",$17 / hr,"Adobe Premiere Pro, After Effects, Social Media Marketing, Video Editing, Video Post-editing, Video Production, Video Services"
job-34,Cheap AI Ghostwriter for Social Posts,"I need an AI-assisted ghostwriter who can turn my rough ideas into engaging, human-sounding social media copy. The focus is on short-form posts that spark conversation and keep a consistent brand voice across the big platforms such as Facebook, Instagram and Twitter, so flexibility in length and style matters.

You’ll receive a weekly content calendar with themes, images, and key messages. Using your preferred large-language-model workflow (ChatGPT, GPT-4, Jasper, etc.), refine the raw output, add creative flair, and deliver text that is ready to paste straight into the scheduler.

Deliverables each week  
• 15 complete social posts (hook, body, call-to-action, relevant hashtags)  
• A brief rationale for any creative angles or trending references you introduce  
• Lig...",$10 / hr,"AI Chatbot Development, AI Content Writing, AI Writing, Book Writing, ChatGPT, Content Writing, Fiction, Ghostwriting, GPT-4, Illustration"
job-35,Website Development,"Restaurant Dashboard Documentation
Restaurant Management Dashboard Documentation

1. Overview
The Restaurant Management Dashboard is a centralized system designed to help restaurant owners and managers eficiently manage daily operations. It provides real-time insights into orders, menu, refunds, website content, and POS system integration.

2. Objectives
Streamline order management (Total, Pending, Completed)
Enable eficient menu management
Manage website content easily
Track refunds and cancellations
Integrate seamlessly with POS systems

3. Key Features

3.1 Order Management
View Total Orders
Track Pending Orders
Monitor Completed Orders
Real-time order updates
Order status filters (Pending, Processing, Completed, Cancelled)

3.2 Refund Management
Initiate refund requests
Track refund st...",$173,"API Integration, Content Management System (CMS), Database Management, Payment Gateway Integration, User Interface / IA, Web Development, Website Design"
job-36,"Create Bold, Colorful YouTube Thumbnails","I need a run of eye-catching thumbnails that lean firmly into a bold and colorful style. For each video I will send the exact headline or call-out text that must appear, plus any logos or brand cues I already use. Your job is to blend that copy with arresting imagery, punchy contrast and a consistent palette so every 1280 × 720 graphic pops on both desktop and mobile feeds.

Show me examples that prove your experience designing YouTube or social-media graphics in this vibrant vein. A quick sample based on my notes will help me lock in the right designer fast.

Deliverables (first batch)
• 5 thumbnails in JPG or PNG, ≤ 2 MB each  
• Matching layered source files (PSD/AI) so I can tweak text later  

Acceptance criteria  
• Text readable at 15 % scale  
• Colors ...",$165,"Adobe Illustrator, Adobe Photoshop, Graphic Design, Illustrator, Logo Design, Photoshop, Social Media Marketing, YouTube"
job-37,Playful Wix Charity Site,"* I already have branding and logo

I'm seeking a skilled Wix designer to create a playful and colorful website for our kids-focused charity. The primary goal of the site is to collect donations.

Essential Requirements:
- A vibrant, engaging, and colorful design that appeals to children and families.
- A dedicated donation page that includes a recurring donation option.

Ideal Skills and Experience:
- Proficiency in Wix website design
- Strong portfolio showcasing playful and colorful websites
-  would like it to feel interactive with new wix features like moving text / objects / scroll effects",$681,"CSS, Graphic Design, HTML, PHP, Web Animation, Web Design, Web Development, Website Design, Website Development, Wix"
job-38,WooCommerce Medical eCommerce Website Development,"## Project Title:

Build SEO-Friendly WooCommerce Medical eCommerce Website (MedicPro)

## Project Description:

We are looking for an experienced WordPress/WooCommerce developer to design and optimize a professional medical eCommerce website for our brand “MedicPro”.

The website should be:

* SEO-friendly
* Fast loading
* Mobile responsive
* Easy to navigate for customers
* Conversion-focused

The goal is to create a structured, scalable, and user-friendly platform for selling medical products such as ostomy care, wound care, oxygen concentrators, and surgical supplies.

## Scope of Work:

### 1. Website Structure & Navigation

* Create a **Mega Menu** with clear product categories:

* Health & Wellness Products
*Home Healthcare Products
*Medical & Surgical Produc...",$94,"Conversion Rate Optimization, eCommerce, Email Marketing, Payment Gateway Integration, Product Management, SEO, Website Design, Website Optimization, WooCommerce, WordPress"
job-39,People from Columbia and Chile needed to recruit 5-17 years/old for Ethical AI Facial Recognition Dataset,"Our company is running an ""academic-industry research project"" improving facial-recognition AI for 'child safety applications' (distress detection for schools/protection services). Need recruiters for short, anonymized video clips.

SCOPE:
• Ages: 5-17 years
• Country: Columbia and Chile
• 8 HD videos/child: exact head movements + expressions (full guide provided)

YOUR ROLE:
Source participants + parents, get consent, guide iPhone recordings (4K 60fps, no audio/GPS). Diversity across ethnicities valued.

DELIVERABLES PER CHILD:
1. Signed parental consent (template provided)
2. 8 HD videos (Google Drive link)
3. Metadata: age band, country, ethnicity, device, date (no personal IDs)

ACCEPTANCE:
• HD quality, clear face/movements
• iPhone 12 +
&b...",$25,"Data Collection, Facial Recognition, Research"
job-40,Update Existing iOS Apps,"This project is for Sahib.  Don't place bid 
I have a small (3-5) suite of apps that need updating to keep in line with recent iOS updates. There won't be any design changes. iOS only, thank you!",$14 / hr,"App Development, App Store Optimization, iOS Development, iPad, iPhone, Mobile App Development, Objective C, Parallax Scrolling, Svelte, Xcode"
job-41,Non-Verbal Reasoning Question Creation,"Project Title:
Create Non-Verbal Reasoning (NVR) Image-Based Questions

Project Description:
I am looking for a freelancer to create a set of high-quality Non-Verbal Reasoning (NVR) questions. These questions should be image-based and suitable for aptitude tests or competitive exam practice.

Requirements:

* Create NVR questions (pattern recognition, series completion, odd-one-out, etc.)
* Each question must include:
        One clear image-based problem
        Five answer options (A, B, C, D, E)
* Images must be original, clean, and easy to understand
* Questions should vary in difficulty (easy, medium, hard)
* Provide answers and brief explanations for each question
* Final delivery in organized format (PDF / PowerPoint / images folder)

Scope of Work:

* Total number of questions: 650...",$72,"Content Creation, Creative Design, Education & Tutoring, Graphic Design, Instructional Design, Mathematics, Matlab and Mathematica"
job-42,YouTube Entertainment Lead Strategy,"I’m building an online business centred on content creation and will launch with an entertainment-focused YouTube channel. I need a seasoned strategist who can walk me through every step—from polishing the channel’s positioning and content calendar to converting viewers into qualified leads on Telegram and Instagram.

Here’s how I picture the collaboration:

• Business & Brand Blueprint – a concise document that clarifies my niche, audience persona, value proposition and monetisation paths (ads, sponsorships, merch, memberships).  
• Channel Optimisation – keyword plan, thumbnail guidance, upload workflow and on-page SEO to boost watch-time and discoverability.  
• Cross-Platform Funnel – a practical, repeatable system for moving...",$220,"Brand Management, Content Strategy, Digital Marketing, Facebook Marketing, Internet Marketing, Lead Generation, Social Media Marketing, YouTube"
